date,open,max,min,close,x,y
2010.12.09,1381.88000,1394.14000,1380.03000,1386.70000,2341,0
2010.12.10,1387.28000,1392.07000,1372.17000,1385.60000,3813,0
2010.12.13,1383.01000,1398.99000,1380.15000,1393.81000,2689,0
2010.12.14,1394.20000,1407.98000,1391.71000,1395.94000,3081,0
2010.12.15,1396.21000,1397.14000,1378.46000,1380.55000,2171,0
2010.12.16,1379.42000,1386.13000,1361.34000,1369.92000,4009,0
2010.12.17,1369.34000,1378.61000,1364.68000,1374.96000,2225,0
2010.12.20,1377.02000,1387.95000,1375.92000,1385.01000,1608,0
2010.12.21,1385.16000,1391.84000,1380.90000,1385.28000,2177,0
2010.12.22,1385.21000,1390.83000,1382.96000,1385.15000,1569,0
2010.12.23,1386.00000,1388.23000,1372.18000,1379.65000,2576,0
2010.12.24,1378.33000,1384.60000,1378.03000,1383.00000,848,0
2010.12.27,1377.30000,1384.60000,1371.03000,1383.29000,2116,0
2010.12.28,1382.65000,1406.18000,1382.03000,1405.30000,2566,0
2010.12.29,1404.49000,1413.63000,1400.90000,1411.25000,1871,0
2010.12.30,1411.39000,1414.48000,1402.75000,1404.37000,1645,0
2010.12.31,1403.95000,1418.83000,1403.94000,1418.19000,1555,0
2011.01.03,1418.23000,1423.77000,1412.90000,1414.54000,1806,0
2011.01.04,1413.68000,1417.08000,1374.80000,1380.30000,5119,0
2011.01.05,1380.72000,1384.72000,1363.90000,1377.98000,3891,0
2011.01.06,1376.62000,1379.64000,1364.72000,1371.31000,2454,0
2011.01.07,1371.15000,1378.46000,1352.79000,1368.78000,4898,0
2011.01.10,1369.23000,1375.90000,1365.58000,1375.19000,1469,0
2011.01.11,1374.97000,1386.50000,1373.18000,1381.22000,2040,0
2011.01.12,1380.64000,1388.61000,1376.73000,1387.52000,1689,0
2011.01.13,1386.73000,1393.00000,1369.53000,1373.27000,3349,0
2011.01.14,1376.66000,1377.91000,1354.95000,1361.78000,3105,0
2011.01.17,1360.35000,1365.62000,1357.12000,1362.24000,1512,0
2011.01.18,1361.04000,1376.04000,1360.24000,1367.91000,2474,0
2011.01.19,1367.76000,1378.77000,1365.51000,1369.68000,2461,0
2011.01.20,1369.61000,1370.90000,1343.32000,1345.88000,3144,0
2011.01.21,1345.94000,1350.06000,1337.61000,1342.35000,2132,0
2011.01.24,1343.30000,1353.08000,1332.58000,1334.02000,3173,0
2011.01.25,1334.17000,1338.32000,1322.63000,1331.98000,2920,0
2011.01.26,1332.51000,1346.49000,1324.94000,1345.44000,3018,0
2011.01.27,1345.05000,1347.80000,1310.28000,1313.67000,4367,0
2011.01.28,1311.31000,1346.86000,1307.95000,1336.11000,5303,0
2011.01.31,1338.71000,1345.84000,1323.01000,1332.43000,3939,0
2011.02.01,1332.94000,1342.68000,1325.39000,1340.96000,2657,0
2011.02.02,1343.14000,1343.74000,1326.59000,1334.79000,2596,0
2011.02.03,1334.93000,1355.56000,1324.96000,1353.99000,4215,0
2011.02.04,1354.75000,1357.82000,1345.26000,1348.72000,1910,0
2011.02.07,1346.74000,1352.87000,1343.44000,1350.90000,1471,0
2011.02.08,1351.35000,1367.70000,1348.29000,1363.50000,2668,0
2011.02.09,1362.95000,1366.85000,1358.01000,1363.30000,1734,0
2011.02.10,1363.37000,1365.74000,1351.10000,1363.49000,2917,0
2011.02.11,1362.90000,1368.01000,1353.97000,1356.51000,2170,0
2011.02.14,1357.49000,1366.49000,1353.82000,1361.48000,2136,0
2011.02.15,1360.59000,1376.28000,1360.59000,1373.45000,1853,0
2011.02.16,1372.90000,1381.59000,1368.10000,1374.13000,2576,0
2011.02.17,1376.50000,1384.74000,1374.27000,1383.64000,1381,0
2011.02.18,1384.38000,1391.66000,1381.68000,1389.82000,1453,0
2011.02.21,1389.52000,1408.10000,1389.52000,1405.83000,2086,0
2011.02.22,1406.18000,1410.80000,1392.64000,1398.78000,2893,0
2011.02.23,1398.73000,1416.34000,1395.42000,1411.23000,2935,0
2011.02.24,1411.34000,1417.89000,1392.64000,1402.34000,4151,0
2011.02.25,1401.06000,1411.18000,1399.59000,1410.09000,1416,0
2011.02.28,1409.12000,1416.08000,1404.59000,1410.96000,2115,0
2011.03.01,1411.16000,1434.56000,1408.98000,1432.94000,2939,0
2011.03.02,1432.27000,1439.94000,1427.45000,1433.97000,2329,0
2011.03.03,1435.64000,1435.93000,1410.00000,1415.51000,3174,0
2011.03.04,1415.43000,1431.76000,1412.90000,1430.58000,2258,0
2011.03.07,1433.39000,1444.37000,1427.90000,1431.62000,3118,0
2011.03.08,1431.45000,1436.46000,1423.14000,1428.59000,2379,0
2011.03.09,1429.03000,1435.92000,1422.93000,1430.56000,2446,0
2011.03.10,1430.82000,1431.24000,1402.91000,1411.45000,3730,0
2011.03.11,1410.90000,1423.80000,1404.65000,1417.11000,3210,0
2011.03.14,1430.12000,1430.50000,1418.45000,1426.40000,2039,0
2011.03.15,1425.66000,1427.36000,1380.90000,1394.20000,6147,0
2011.03.16,1393.67000,1405.71000,1392.15000,1399.08000,2172,0
2011.03.17,1391.20000,1404.79000,1386.21000,1403.51000,2486,0
2011.03.18,1405.00000,1423.70000,1404.50000,1418.16000,2525,0
